Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
SWAG.DE;Schloss Wachenheim AG;Germany;;;;;;;;;;
SIXG.DE;Sixt SE;Germany;57,63;42,3;35,91;31,45;28,81;11,57;;;;
NEPG.H;SLOMAN NEPTUN Schiffahrts-AG;Germany;;;;;;;;;;
SZGG.DE;Salzgitter AG;Germany;71,59;69,05;64,6;58,94;57,08;54,27;35,66;27,54;29,06;28,97
STGG.F;STINAG Stuttgart Invest AG;Germany;;;;;;;;;;
SSHG.F;Suedwestdeutsche Salzwerke AG;Germany;;;;;;;;;;
SZUG.DE;Suedzucker AG;Germany;68,33;62,63;53,71;48;44,18;48,24;33,64;35,43;23,32;17,01
TEGG.DE;TAG Immobilien AG;Germany;69,63;70,17;60,68;55,86;49,35;47,93;;;;
TTBG.H;Pinguin Haustechnik AG;Germany;;;;;;;;;;
HVBG.F;UeSTRA Hannoversche Verkehrsbetriebe AG;Germany;;;;;;;;;;
VAR1.DE;Varta AG;Germany;56,62;48,11;31,48;13,41;11,58;;;;;
EONGn.DE;E ON SE;Germany;76,74;73,02;70,64;74,99;74,45;68,58;77,42;78,35;79,53;82,04
VFFG.MU;Vereinigte Filzfabriken AG;Germany;;;;;;;;;;
VOWG.DE;Volkswagen AG;Germany;85,45;86,05;89,17;87,6;83,13;82,53;79,92;80,18;83,95;79,24
2HR.DE;H&R GmbH & Co KgaA;Germany;42,2;44,66;40,78;34,31;32,45;;;;;
WUG.F;Westag AG;Germany;;;;;;;;;;
WKMG.BE;WKM Terrainund Beteiligungs-Aktiengesellschaft;Germany;;;;;;;;;;
VG1.F;ECHOS Holding AG;Germany;;;;;;;;;;
WCMKk.DE;WCM Beteiligungsund Grundbesitz-AG;Germany;;;;;;;;;;
WUWGn.DE;Wuestenrot & Wuerttembergische AG;Germany;36,72;34,35;32,86;27,69;11,27;;;;;
ZILGn.DE;Elringklinger AG;Germany;55,2;52,21;41,36;46,78;47,33;49,93;53,72;54,38;40,03;42,22
ZOOG.BE;Zoologischer Garten Berlin AG;Germany;;;;;;;;;;
ZURN.S;Zurich Insurance Group AG;Switzerland;89,36;89,98;87,75;83,89;79,71;66,92;67,86;61,2;62,78;59,24
ZWM.S;Zwahlen et Mayr SA;Switzerland;;;;;;;;;;
SOON.S;Sonova Holding AG;Switzerland;85,17;88,63;84,19;83,76;80,17;76,38;67,32;66,8;64,73;50,19
CLKTF.PK;CalciTech Ltd;Switzerland;;;;;;;;;;
ARBNO.S;Arbonia AG;Switzerland;66,9;63,94;57,35;41,33;32,73;;;;;
ANFO.S;UBS (CH) Property Fd-Swiss Residential 'Anfos' CHF;Switzerland;;;;;;;;;;
GAMH.S;GAM Holding AG;Switzerland;81,55;76,72;65,05;54,71;56,43;37,56;35,13;41,35;42,05;22,77
BLKB.S;Basellandschaftliche Kantonalbank;Switzerland;48,49;46,3;39,95;;;;;;;
BSKP.S;Basler Kantonalbank;Switzerland;;;;;;;;;;
BELL.S;Bell Food Group AG;Switzerland;46,06;46,67;43,75;33,24;;;;;;
IMHE.S;Immo Helvetic;Switzerland;;;;;;;;;;
OERL.S;OC Oerlikon Corporation AG Pfaeffikon;Switzerland;75,53;59,82;53,59;47,5;47,51;47,71;46,27;48,15;46,29;49,67
CALN.S;Calida Holding AG;Switzerland;42,17;41,67;;;;;;;;
