Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
T3T1k.DE;Seven Principles AG;Germany;;;;;;;;;;
CH1092387=BEKB;Hoher Kasten Drehrestaurant und Seilbahn AG;Switzerland;;;;;;;;;;
CH1136752=BEKB;Saastal Bergbahnen AG;Switzerland;;;;;;;;;;
CH1245763=BEKB;Plaston Holding AG Widnau;Switzerland;;;;;;;;;;
HBMN.S;HBM Healthcare Investments AG;Switzerland;17,33;16,08;16,21;9,47;;;;;;
CH131485=BEKB;Bank in Zuzwil AG;Switzerland;;;;;;;;;;
CH131837=ZKBZ;Lienhardt & Partner Privatbank Zuerich AG;Switzerland;;;;;;;;;;
CH133720=ZKBZ;Ersparniskasse Affoltern iE AG;Switzerland;;;;;;;;;;
CH134019=ZKBZ;Regiobank Maennedorf AG;Switzerland;;;;;;;;;;
CH134388=BEKB;Leihkasse Stammheim AG;Switzerland;;;;;;;;;;
CH134872=ZKBZ;Spar- und Leihkasse Bucheggberg AG;Switzerland;;;;;;;;;;
CH135011=ZKBZ;Spar- und Leihkasse Frutigen AG;Switzerland;;;;;;;;;;
CH135186=ZKBZ;Bank SLM AG;Switzerland;;;;;;;;;;
CH135292=BEKB;SB Saanen Bank AG;Switzerland;;;;;;;;;;
CH135429=BEKB;Spar und Leihkasse Wynigen AG;Switzerland;;;;;;;;;;
CH135700=BEKB;Clientis Sparkasse Oftringen Genossenschaft;Switzerland;;;;;;;;;;
CH137400=ZKBZ;Seehuegel Rueschlikon AG in Liquidation;Switzerland;;;;;;;;;;
CH1379284=BEKB;Bank Oberaargau AG;Switzerland;;;;;;;;;;
CH139553=BEKB;Suvretta Haus AG;Switzerland;;;;;;;;;;
CH140241=ZKBZ;Agruna AG;Switzerland;;;;;;;;;;
CH141821=BEKB;Aluminium Laufen AG Liesberg;Switzerland;;;;;;;;;;
CH143093=ZKBZ;Arosa Bergbahnen AG;Switzerland;;;;;;;;;;
CH145782=BEKB;Auto AG Schwyz;Switzerland;;;;;;;;;;
CH146915=BEKB;Badrutt's Palace Hotel AG;Switzerland;;;;;;;;;;
CH151450=ZKBZ;Kongresshaus Zuerich AG;Switzerland;;;;;;;;;;
CH154260=BEKB;Loewengarten AG;Switzerland;;;;;;;;;;
CH155120=BEKB;BuchsMedien AG;Switzerland;;;;;;;;;;
CH1601684=ZKBZ;Ferien und Sportzentrum Hoch Ybrig AG;Switzerland;;;;;;;;;;
CH1604988=BEKB;Patiswiss AG;Switzerland;;;;;;;;;;
KSBE.BN;Kursaal Bern AG;Switzerland;;;;;;;;;;
CH163159=ZKBZ;Compagnie de Chemin de Fer et d'Autobus Sierre Montana Crans SMC SA;Switzerland;;;;;;;;;;
CH1656888=BEKB;Bergbahnen Spluegen Tambo AG Spluegen;Switzerland;;;;;;;;;;
CH166514=ZKBZ;Dolder Hotel AG;Switzerland;;;;;;;;;;
CH170468=BEKB;Eskimo Textil AG;Switzerland;;;;;;;;;;
CH177787=ZKBZ;ebs Erdgas & Biogas AG;Switzerland;;;;;;;;;;
CH178834=BEKB;Genossenschaft Lenk Bergbahnen;Switzerland;;;;;;;;;;
CH18384120=BEKB;Bergbahnen Destination Gstaad AG;Switzerland;;;;;;;;;;
CH186552=BEKB;Heim im Bergli AG;Switzerland;;;;;;;;;;
CH193395=BEKB;Portes du Soleil Suisse SA;Switzerland;;;;;;;;;;
CH1955690=BEKB;Cresta Palace Celerina AG;Switzerland;;;;;;;;;;
CH198951=ZKBZ;Kursaal Interlaken Holding AG;Switzerland;;;;;;;;;;
CH205250=BEKB;Brunni Bahnen Engelberg AG;Switzerland;;;;;;;;;;
CH205278=BEKB;Luftseilbahn Grindelwald Pfingstegg AG;Switzerland;;;;;;;;;;
CH205291=BEKB;Luftseilbahn Jakobsbad Kronberg AG;Switzerland;;;;;;;;;;
CH205581=BEKB;Luftseilbahn Wasserauen Ebenalp AG;Switzerland;;;;;;;;;;
CH205603=BEKB;Luftseilbahn Wengen Maennlichen AG;Switzerland;;;;;;;;;;
CH205707=ZKBZ;Lyceum Alpinum Zuoz AG;Switzerland;;;;;;;;;;
CH213785=ZKBZ;Schauspielhaus Zuerich AG;Switzerland;;;;;;;;;;
CH216046=ZKBZ;Opernhaus Zuerich AG;Switzerland;;;;;;;;;;
CH217405=ZKBZ;Parkhotel Giessbach AG;Switzerland;;;;;;;;;;
CH217440=BONL;Inovil SA;Switzerland;;;;;;;;;;
CH221788=ZKBZ;Radio Zuerisee AG;Switzerland;;;;;;;;;;
CH221869=BEKB;Railtour Suisse SA;Switzerland;;;;;;;;;;
CH222130=ZKBZ;Raststaette Thurau AG;Switzerland;;;;;;;;;;
CH222133=BEKB;Gotthard Raststaette A2 Uri AG;Switzerland;;;;;;;;;;
CH222708=ZKBZ;Reishauer Beteiligungen AG;Switzerland;;;;;;;;;;
CH223437=BEKB;Rhaetische Bahn AG RhB;Switzerland;;;;;;;;;;
CH225366=BEKB;Bergbahnen Hohsaas AG;Switzerland;;;;;;;;;;
CH34142011=BEKB;Schifffahrtsgesellschaft Hallwilersee AG;Switzerland;;;;;;;;;;
CH229180=BEKB;Schweizerische Schifffahrtsgesellschaft Untersee Und Rhein AG;Switzerland;;;;;;;;;;
CH233136=BEKB;Sattel Hochstuckli AG;Switzerland;;;;;;;;;;
CH235369=BEKB;Sportbahnen Pischa AG LDP;Switzerland;;;;;;;;;;
CH237090=BEKB;Zuercher Landbank AG;Switzerland;;;;;;;;;;
CH253801=BEKB;Sursee-Triengen-Bahn AG;Switzerland;;;;;;;;;;
CH255761=BEKB;Treib Seelisberg Bahn AG;Switzerland;;;;;;;;;;
CH256969=BEKB;Tuwag Immobilien AG;Switzerland;;;;;;;;;;
CH261655=ZKBZ;Waedi Brau Huus AG;Switzerland;;;;;;;;;;
CH265550=BEKB;Zoologischer Garten Basel AG;Switzerland;;;;;;;;;;
CH265705=ZKBZ;Zuercher Engros Markthalle AG;Switzerland;;;;;;;;;;
CH342383=BEKB;Niederhornbahn AG;Switzerland;;;;;;;;;;
CH495950=BEKB;Casino de Montreux SA;Switzerland;;;;;;;;;;
CH570170=BEKB;Stoosbahnen AG;Switzerland;;;;;;;;;;
CH792565=ZKBZ;ZSC Lions AG;Switzerland;;;;;;;;;;
DKSH.S;DKSH Holding AG;Switzerland;75,55;75,51;72,73;56;49,45;24,17;21,78;9,46;11,54;
CH889504=ZKBZ;Zoo Zuerich AG;Switzerland;;;;;;;;;;
CH900597=BEKB;Pilatus Bahnen AG;Switzerland;;;;;;;;;;
CH931972=ZKBZ;Stadtcasino Baden AG;Switzerland;;;;;;;;;;
RTML.F;Camerit AG;Germany;;;;;;;;;;
MNAP.PK;MNP Petroleum Corp;Switzerland;;;;;;;;;;
N2F0k.MU;NanoFocus AG;Germany;;;;;;;;;;
VIH1n.DE;VIB Vermoegen AG;Germany;;;;;;;;;;
C1VG.DE;mVISE AG;Germany;;;;;;;;;;
CLIQ.DE;CLIQ Digital AG;Germany;;;;;;;;;;
JDC.DE;JDC Group AG;Germany;;;;;;;;;;
CH213446=ZKBZ;Savognin Bergbahnen AG;Switzerland;;;;;;;;;;
HAEk.DE;Haemato AG;Germany;;;;;;;;;;
DUFN.S;Dufry AG;Switzerland;56,37;53,47;53,16;53;36,04;36,58;31,31;30,27;29,24;23,03
VSCk.F;4Sc AG;Germany;;;;;;;;;;
C9TG.H;Hoevelrat Holding AG;Germany;;;;;;;;;;
P4OG.DE;Plan Optik AG;Germany;;;;;;;;;;
I8CKk.H;Independent Capital AG;Germany;;;;;;;;;;
LEH.F;Lehner Investments AG;Germany;;;;;;;;;;
B8AG.DE;BAVARIA Industries Group AG;Germany;;;;;;;;;;
CH652426=BEKB;Adev Wasserkraftwerk AG;Switzerland;;;;;;;;;;
CH2312421=BEKB;HBB Holding AG;Switzerland;;;;;;;;;;
CH81780=HMED;Rigi Bahnen AG;Switzerland;;;;;;;;;;
CH1110161=HMED;Transports publics fribourgeois Holding TPF SA;Switzerland;;;;;;;;;;
CH232808=HMED;Skilift AG Innereriz;Switzerland;;;;;;;;;;
CH194660=BONL;Jaquet SA;Switzerland;;;;;;;;;;
CH244291=BONL;Societe Cooperative dhabitation La Serpentine;Switzerland;;;;;;;;;;
CH245297=BONL;La Maison Ouvriere C SA;Switzerland;;;;;;;;;;
SB1G.DE;Smartbroker Holding AG;Germany;;;;;;;;;;
PGHN.S;Partners Group Holding AG;Switzerland;61,49;54,41;47,95;47,08;39,51;39,7;24,04;21,56;18,75;15,16
IR1.MU;Immovaria Real Estate AG;Germany;;;;;;;;;;
IMPN.S;Implenia AG;Switzerland;64,72;63,78;63,45;52,28;48,39;;;;;
CH233209=BEKB;Bergbahnen Brigels Waltensburg Andiast SA;Switzerland;;;;;;;;;;
PATGn.DE;Patrizia SE;Germany;55,92;60,39;52,01;42,95;36,33;;;;;
RICICHFNAV.DE;Abn Mkt Rici Chf;Germany;;;;;;;;;;
AB1.F;Air Berlin Plc;Germany;;;;;;;;;;
ZGLD.S;ZKB Gold ETF AA CHF;Switzerland;;;;;;;;;;
E4CG.DE;Ecotel Communication AG;Germany;;;;;;;;;;
WCHG.DE;Wacker Chemie AG;Germany;75,64;67,76;67,8;65,28;53,19;55,17;53,13;51,39;56,33;53,54
DWNG.DE;Deutsche Wohnen SE;Germany;83,17;76,96;67,76;71,18;71,61;53,46;47,81;48,71;38,86;39
NDXEX.DE;iShares NASDAQ-100® UCITS ETF (DE);Germany;;;;;;;;;;
DJAPSDEEX.DE;iShares Dow Jones AsPac Sel Div 50 UCITS ETF (DE);Germany;;;;;;;;;;
DJCHOS50EX.DE;iShares Dow Jones China Offshore 50 (DE);Germany;;;;;;;;;;
SUBEEX.DE;Ishares Dow Jones Euro Stoxx Sustainability AG;Germany;;;;;;;;;;
BIG1k.DE;Bio-Gate AG;Germany;;;;;;;;;;
F3CG.DE;SFC Energy AG;Germany;27,11;29,46;;;;;;;;
KCOGn.DE;Kloeckner & Co SE;Germany;66,17;56,46;51,15;48,95;50,11;51,48;47,05;46,79;47,67;46,58
MBBG.DE;MBB SE;Germany;46,41;32,79;39,36;16,8;17,45;;;;;
MT3.H;DISO Verwaltungs AG;Germany;;;;;;;;;;
V6CG.DE;Viscom AG;Germany;37,8;27,71;21,9;;;;;;;
EQSn.DE;EQS Group AG;Germany;;;;;;;;;;
BCHN.S;Burckhardt Compression Holding AG;Switzerland;47,85;40,99;40,42;29,58;;;;;;
YOCG.DE;Yoc AG;Germany;;;;;;;;;;
WACGn.DE;Wacker Neuson SE;Germany;67,34;58,05;52,36;30,23;15,8;;;;;
B5AG.H;Bauer AG;Germany;42,3;42,1;;;;;;;;
D6HG.DE;Datagroup SE;Germany;25,69;;;;;;;;;
GTYG.DE;Gateway Real Estate AG;Germany;;;;;;;;;;
A6TG.DE;Artec Technologies AG;Germany;;;;;;;;;;
CLTN.S;Coltene Holding AG;Switzerland;58;51,79;31,97;19,35;;;;;;
I7NG.F;Itn Nanovation AG;Germany;;;;;;;;;;
VVAGk.F;Vivanco Gruppe AG;Germany;;;;;;;;;;
T7RAk.H;CGift AG;Germany;;;;;;;;;;
L1A.H;Arbitrage Investment AG;Germany;;;;;;;;;;
HOCN.S;Hochdorf Holding AG;Switzerland;28,22;22,81;23,65;;;;;;;
B8FGn.DE;Biofrontera AG;Germany;;;;;;;;;;
E2NG.MU;Endor AG;Germany;;;;;;;;;;
I5Q1.F;ISC Business Technology AG;Switzerland;;;;;;;;;;
IB83EX.DE;iShares Euro Government Bond Capped 1.5-10.5yr(DE);Germany;;;;;;;;;;
AR4G.DE;AURELIUS Equity Opportunities SE & Co KgaA;Germany;35,03;27,67;19,61;23,42;;;;;;
SCIG.H;Sci AG;Germany;;;;;;;;;;
N225EX.DE;iShares Nikkei 225® UCITS ETF (DE);Germany;;;;;;;;;;
QOUG.H;Ripag AG;Germany;;;;;;;;;;
O4BG.DE;OVB Holding AG;Germany;50,01;52,95;13,53;;;;;;;
DMRE.DE;Demire Deutsche Mittelstand Real Estate AG;Germany;30,1;;;;;;;;;
R2E0k.BE;RIXX Invest AG;Germany;;;;;;;;;;
QBIG.H;Q2M Managementberatung AG;Germany;;;;;;;;;;
SREF.S;Swissinvest Real Estate Investment Fund;Switzerland;;;;;;;;;;
G7BG.F;GWB Immobilien AG;Germany;;;;;;;;;;
CE2G.DE;CropEnergies AG;Germany;53,46;57,26;51,34;;;;;;;
SREEEX.DE;iShares STOXX Europe 600 Real Estate (DE);Germany;;;;;;;;;;
M5ZG.DE;Manz AG;Germany;48,29;49,08;50,31;;;;;;;
M3Bk.DE;Pyramid AG;Germany;;;;;;;;;;
LWD.D;Ivestos AG;Germany;;;;;;;;;;
M4NG.DE;Muehlhan AG;Germany;8,92;4,54;;;;;;;;
H5EG.DE;HELMA Eigenheimbau AG;Germany;;;;;;;;;;
E8XG.DE;Elexxion AG;Germany;;;;;;;;;;
VBKG.DE;Verbio Vereinigte Bioenergie AG;Germany;56,62;57,93;53,91;45,59;30,78;;;;;
T2GG.F;Tradegate AG Wertpapierhandelsbank;Germany;;;;;;;;;;
LUS1n.DE;Lang & Schwarz AG;Germany;;;;;;;;;;
ESUN.S;Edisun Power Europe AG;Switzerland;10,68;4,78;6,75;3,44;;;;;;
A4Y.DE;Accentro Real Estate AG;Germany;;;;;;;;;;
DJCOMEX.DE;iShares Diversified Commodity Swap (DE);Germany;;;;;;;;;;
B7EG.DE;Blue Cap AG;Germany;40,96;30,71;;;;;;;;
QB7G.DE;Quirin Privatbank AG;Germany;;;;;;;;;;
HPHA.DE;Heidelberg Pharma AG;Germany;;;;;;;;;;
DEXGn.DE;Delticom AG;Germany;;;;;;;;;;
SANN.S;Santhera Pharmaceuticals Holding AG;Switzerland;16,6;17,38;;;;;;;;
MBTN.S;Meyer Burger Technology AG;Switzerland;56,5;60,37;65,83;64,72;69,43;69,02;57,37;49,72;42,73;39,24
CDZ0.MU;MHP Hotel AG;Germany;;;;;;;;;;
SY1G.DE;Symrise AG;Germany;77,8;77,28;73,85;69,02;71,49;68,6;62,97;66,62;63,46;70,76
MA10.DE;Binect AG;Germany;;;;;;;;;;
NWOn.DE;New Work SE;Germany;52,46;53,49;49,18;43,87;46,74;;;;;
M5SG.BE;MARNA Beteiligungen AG;Germany;;;;;;;;;;
NTGG.DE;Nabaltec AG;Germany;26,55;24;20,55;;;;;;;
G6PGn.DE;Going Public Media AG;Germany;;;;;;;;;;
FPHG.DE;Francotyp Postalia Holding AG;Germany;51,17;53,66;55,79;41,16;;;;;;
CY1k.F;Sbf AG;Germany;;;;;;;;;;
A8NG.MU;aovo Touristik AG;Germany;;;;;;;;;;
SEAN.BN;Swiss Estates AG;Switzerland;;;;;;;;;;
CFCG.DE;UET United Electronic Technology AG;Germany;;;;;;;;;;
T5O.DE;bioXXmed AG;Germany;;;;;;;;;;
II8.F;Secanda AG;Germany;;;;;;;;;;
NSAK.D;OTI Greentech AG;Germany;;;;;;;;;;
VG8G.DE;Varengold Bank AG;Germany;;;;;;;;;;
H2RBn.H;Halloren Schokoladenfabrik AG;Germany;;;;;;;;;;
A7AGn.DE;Finlab AG;Germany;;;;;;;;;;
APQG.D;Aquamondi AG;Germany;;;;;;;;;;
MOCI.PK;Energy Holdings Inc;Switzerland;;;;;;;;;;
AOXG.DE;alstria office REIT AG;Germany;88,7;88,1;81,07;69,29;65,1;;;;;
S4AAn.DE;SMT Scharf AG;Germany;;;;;;;;;;
EVKn.DE;Evonik Industries AG;Germany;88,84;89,12;89,04;85,88;86,95;88,23;88,08;87,31;84,01;75,86
H9YG.DE;HanseYachts AG;Germany;22,99;;;;;;;;;
V3SG.DE;Vectron Systems AG;Germany;;;;;;;;;;
VZN.S;VZ Holding AG;Switzerland;31,39;33,94;27,86;27,35;;;;;;
SKAN.S;SKAN Group AG;Switzerland;;;;;;;;;;
FNTGn.DE;freenet AG;Germany;39,89;39,32;34,47;35,33;33,89;16,95;16,72;10,19;7,52;14,94
TINCk.H;Baumot Group AG;Germany;;;;;;;;;;
IC8Gn.DE;InCity Immobilien AG;Germany;;;;;;;;;;
TEL.N;TE Connectivity Ltd;Switzerland;72,33;70,46;69,29;64,31;62,77;64,17;64,54;54,35;51,31;57,78
V3VGn.DE;Vita 34 AG;Germany;;;;;;;;;;
H9WG.DE;HWA AG;Germany;;;;;;;;;;
GXIG.DE;Gerresheimer AG;Germany;71,41;78,84;75,02;73,7;70,75;57,27;52,91;43,39;45,67;36,74
ADXN.S;Addex Therapeutics Ltd;Switzerland;17,72;22,05;22,84;19,16;16,97;11,23;6,78;11,85;16,48;9,12
DFTKn.DE;DF Deutsche Forfait AG;Germany;;;;;;;;;;
ZPAL.S;ZKB Palladium ETF AA CHF;Switzerland;;;;;;;;;;
ZPLA.S;ZKB Platinum ETF AA CHF;Switzerland;;;;;;;;;;
IVXG.DE;InVision AG;Germany;;;;;;;;;;
ST5G.DE;Steico SE;Germany;30,82;29,75;;;;;;;;
FXPO.L;Ferrexpo PLC;Switzerland;79,02;68,33;70,66;67,34;63,19;58,48;57,73;57,98;54,7;55,08
ERWE.F;ERWE Immobilien AG;Germany;;;;;;;;;;
M7UG.DE;Nynomic AG;Germany;;;;;;;;;;
ZEFG.F;Zhongde Waste Technology AG;Germany;;;;;;;;;;
MF6G.SG;Magforce AG;Germany;;;;;;;;;;
ETGG.DE;EnviTec Biogas AG;Germany;9,82;4,6;;;;;;;;
CVK.D;Diok One AG;Germany;;;;;;;;;;
SFQ.DE;Saf-Holland Se;Germany;63,16;62,33;62,11;57,42;58,2;;;;;
VVX.H;Palatium Real Estate AG;Germany;;;;;;;;;;
CSSLI.S;iShares SLI® ETF (CH);Switzerland;;;;;;;;;;
F9ZJNAV.DE;DBAG XXX3;Germany;;;;;;;;;;
F9ZKNAV.DE;DBAG XXX4;Germany;;;;;;;;;;
F9ZINAV.DE;DBAG XXX2;Germany;;;;;;;;;;
F9ZLNAV.DE;DBAG XXX5;Germany;;;;;;;;;;
F9ZHNAV.DE;DBAG XXX1;Germany;;;;;;;;;;
HHFGn.DE;Hamburger Hafen und Logistik AG;Germany;69,56;72,29;68,37;55,84;51,64;47,57;45,81;46,05;46,96;47,52
HHXG.H;HAMMONIA Schiffsholding AG;Germany;;;;;;;;;;
1NT.D;Blockchain Infrastructure Group AG;Germany;;;;;;;;;;
2GBG.DE;2G Energy AG;Germany;40,32;35,59;;;;;;;;
QCAP.BN;Q Capital AG;Switzerland;;;;;;;;;;
LLQ.S;Lalique Group SA;Switzerland;21,58;18,65;20,32;;;;;;;
HP3An.DE;Ringmetall SE;Germany;31,75;18,02;14,41;;;;;;;
FVIG.F;Fair Value REIT-AG;Germany;;;;;;;;;;
SDPN.BN;Sandpiper Digital Payments AG;Switzerland;2,56;2,05;;;;;;;;
DLXG.DE;Delignit AG;Germany;;;;;;;;;;
MBQGn.DE;Mobotix AG;Germany;;;;;;;;;;
AO9G.MU;Backbone Technology AG;Germany;;;;;;;;;;
HYQGn.DE;Hypoport SE;Germany;49,85;50,5;47,6;38,43;42,36;;;;;
CTNGk.F;Centrotherm International AG;Germany;23,2;19,65;19,38;22,78;16,31;14,24;15,19;19,58;20,6;38,03
SLICHA.S;UBS ETF (CH) SLI (CHF) A dis;Switzerland;;;;;;;;;;
MK3.D;Hande Health AG;Germany;;;;;;;;;;
UBXN.S;U Blox Holding AG;Switzerland;42,31;41,47;35,05;28,93;;;;;;
NIIGn.DE;Niiio Finance Group AG;Germany;;;;;;;;;;
3GOKk.MU;Global Oil & Gas AG;Germany;;;;;;;;;;
M3VGn.DE;Mevis Medical Solutions AG;Germany;;;;;;;;;;
NW4G.BE;Value-Holdings International AG;Germany;;;;;;;;;;
F9TCINAV.DE;Dbag Dem Inav2 Etf;Germany;;;;;;;;;;
3SQ1.F;AHT Syngas Technology NV;Germany;;;;;;;;;;
V33G.H;Vtion Wireless Technology AG;Germany;;;;;;;;;;
RUSE.S;ENR Russia Invest SA;Switzerland;8,04;9,2;9,14;;;;;;;
4DSG.DE;Daldrup & Soehne AG;Germany;;;;;;;;;;
SFPN.S;SF Urban Properties AG;Switzerland;;;;;;;;;;
FTRKk.BE;Fonterelli GmbH & Co KgaA;Germany;;;;;;;;;;
3IT.F;audius SE;Germany;;;;;;;;;;
CSLP.S;Credit Suisse Real Estate Fund LivingPlus A;Switzerland;;;;;;;;;;
BIM.S;Bonhote Immobilier SICAV - BIM;Switzerland;;;;;;;;;;
JFIGk.BE;Janosch film & medien AG;Germany;;;;;;;;;;
ETFSS4P.DE;Deka STOXX® Europe Strong Style Comp 40 UCITS ETF;Germany;;;;;;;;;;
ETFSV2P.DE;Etflab Stoxx Europe Strong Value 20;Germany;;;;;;;;;;
ETFSTOXX50E.DE;Etflab Euro Stoxx 50;Germany;;;;;;;;;;
ETFSG2P.DE;Etflab Stoxx Europe Strong Growth 20;Germany;;;;;;;;;;
ETFGDAXI.DE;Etflab Dax;Germany;;;;;;;;;;
ODHN.S;Orascom Development Holding AG;Switzerland;18,16;19,97;20,17;16,19;10,03;;;;;
4RL.BE;Advides AG;Germany;;;;;;;;;;
LKBG.F;L-KONZEPT Holding AG;Germany;;;;;;;;;;
AMMn.DE;Grounds Real Estate Development AG;Germany;;;;;;;;;;
SE3G.H;Smart Equity AG;Germany;;;;;;;;;;
ZO1G.H;Zooplus SE;Germany;49,76;50,08;50,31;;;;;;;
GKSG.DE;GK Software SE;Germany;50,42;48,87;39,85;;;;;;;
BRKN.S;Burkhalter Holding AG;Switzerland;27,56;28,03;20,78;9,12;;;;;;
MUXG.DE;Mutares SE & Co KgaA;Germany;37,58;39,24;29,36;;;;;;;
4Q5SINAV.DE;Db X Tracker Stoxx 600 Tel Short ETF;Germany;;;;;;;;;;
ETFGDAXP.DE;Deka DAX® (ausschuettend) UCITS ETF;Germany;;;;;;;;;;
ETFSD3E.DE;Etflab Euro Stoxx Select Dividend 30;Germany;;;;;;;;;;
S92G.DE;SMA Solar Technology AG;Germany;65,49;64,64;67,82;;;;;;;
SQL.BN;Matador Secondary Private Equity AG;Switzerland;;;;;;;;;;
GOG1.H;Afrika Gold AG;Switzerland;;;;;;;;;;
EBMMEX.DE;iShares eb.rexx Gov Germany 0-1yr UCITS ETF EUR D;Germany;;;;;;;;;;
ETFEULC.DE;Deka MSCI Europe LC UCITS ETF;Germany;;;;;;;;;;
ETFUSLC.DE;Deka MSCI USA LC UCITS ETF;Germany;;;;;;;;;;
ETFJPLC.DE;Deka MSCI Japan LC UCITS ETF;Germany;;;;;;;;;;
BGZG.H;Smart Grids AG;Germany;;;;;;;;;;
BEZ.DE;Berentzen Gruppe AG;Germany;62,62;46,57;;;;;;;;
ABXG.DE;Advanced Blockchain AG;Germany;;;;;;;;;;
9AUAn.D;New Meat Company AG;Germany;;;;;;;;;;
CRZKG.DE;CR Capital AG;Germany;;;;;;;;;;
UMDk.DE;UMT United Mobility Technology AG;Germany;;;;;;;;;;
NN6G.DE;NanoRepro AG;Germany;;;;;;;;;;
HMUG.DE;HMS Bergbau AG;Germany;;;;;;;;;;
MLECO.EUA;Ecolutions GmbH & Co KgaA;Germany;;;;;;;;;;
ZSILEU.S;ZKB Silver ETF AA CHF;Switzerland;;;;;;;;;;
ETFSTX5.DE;Deka STOXX Europe 50 UCITS ETF;Germany;;;;;;;;;;
ETFES13.DE;Deka iBoxx EUR Liq Sovereign Div 1-3 UCITS ETF;Germany;;;;;;;;;;
ETFES35.DE;Deka iBoxx EUR Liq Sovereign Div 3-5 UCITS ETF;Germany;;;;;;;;;;
ETFES10.DE;Deka iBoxx EUR Liq Sovereign Div 10+ UCITS ETF;Germany;;;;;;;;;;
ETFES57.DE;Deka iBoxx EUR Liq Sovereign Div 5-7 UCITS ETF;Germany;;;;;;;;;;
ETFES11.DE;Deka iBoxx EUR Liq Sovereign Div 1-10 UCITS ETF;Germany;;;;;;;;;;
ETFES71.DE;Deka iBoxx EUR Liq Sovereign Div 7-10 UCITS ETF;Germany;;;;;;;;;;
ETFGS51.DE;Deka Deutsche Boerse EUROGOV® Ger 5-10 UCITS ETF;Germany;;;;;;;;;;
ETFGS13.DE;Deka Deutsche Boerse EUROGOV® Ger 1-3 UCITS ETF;Germany;;;;;;;;;;
ETFGS11.DE;Deka Deutsche Boerse EUROGOV® Ger UCITS ETF;Germany;;;;;;;;;;
ETFGS35.DE;Deka Deutsche Boerse EUROGOV® Ger 3-5 UCITS ETF;Germany;;;;;;;;;;
ETFGSMM.DE;Deka Deutsche Boerse EUROGOV® GeMoMa UCITS ETF;Germany;;;;;;;;;;
ETFGS10.DE;Deka Deutsche Boerse EUROGOV® Ger 10+ UCITS ETF;Germany;;;;;;;;;;
SDJE50INAV.DE;Dow Jones EURO STOXX 50 Source ETF;Germany;;;;;;;;;;
S100.L;Invesco FTSE 100 UCITS ETF Acc;Germany;;;;;;;;;;
ETFDXMD.DE;Deka DAXplus® Maximum Dividend UCITS ETF;Germany;;;;;;;;;;
F9TGINAV.DE;DBAG DEMO 6 INDEX ETF;Germany;;;;;;;;;;
F9TDINAV.DE;DBAG DEMO 3 INDEX ETF;Germany;;;;;;;;;;
F9TBINAV.DE;DBAG DEMO 1 INDEX ETF;Germany;;;;;;;;;;
F9TEINAV.DE;DBAG DEMO 4 INDEX ETF;Germany;;;;;;;;;;
F9TFINAV.DE;DBAG DEMO 5 INDEX ETF;Germany;;;;;;;;;;
F9THINAV.DE;DBAG DEMO 7 INDEX ETF;Germany;;;;;;;;;;
F9TIINAV.DE;DBAG DEMO 8 INDEX ETF;Germany;;;;;;;;;;
F9TJINAV.DE;DBAG DEMO 9 INDEX ETF;Germany;;;;;;;;;;
F9TKINAV.DE;DBAG DEMO 10 INDEX;Germany;;;;;;;;;;
ZEITg.F;FC Wertmanagement GmbH;Germany;;;;;;;;;;
DBAGDM16.DE;DBAG Demo 16 ETF;Germany;;;;;;;;;;
DBAGDM15.DE;DBAG Demo 15 ETF;Germany;;;;;;;;;;
DBAGDM20.DE;DBAG Demo 20 ETF;Germany;;;;;;;;;;
DBAGDM14.DE;DBAG Demo 14 ETF;Germany;;;;;;;;;;
DBAGDM43.DE;DBAG Demo 43 ETF;Germany;;;;;;;;;;
DBAGDM25.DE;DBAG Demo 25 ETF;Germany;;;;;;;;;;
DBAGDM45.DE;DBAG Demo 45 ETF;Germany;;;;;;;;;;
DBAGDM49.DE;DBAG Demo 49 ETF;Germany;;;;;;;;;;
DBAGDM39.DE;DBAG Demo 39 ETF;Germany;;;;;;;;;;
DBAGDM21.DE;DBAG Demo 21 ETF;Germany;;;;;;;;;;
DBAGDM30.DE;DBAG Demo 30 ETF;Germany;;;;;;;;;;
DBAGDM35.DE;DBAG Demo 35 ETF;Germany;;;;;;;;;;
DBAGDM36.DE;DBAG Demo 36 ETF;Germany;;;;;;;;;;
DBAGDM50.DE;DBAG Demo 50 ETF;Germany;;;;;;;;;;
DBAGDM23.DE;DBAG Demo 23 ETF;Germany;;;;;;;;;;
DBAGDM19.DE;DBAG Demo 19 ETF;Germany;;;;;;;;;;
DBAGDM46.DE;DBAG Demo 46 ETF;Germany;;;;;;;;;;
DBAGDM33.DE;DBAG Demo 33 ETF;Germany;;;;;;;;;;
DBAGDM40.DE;DBAG Demo 40 ETF;Germany;;;;;;;;;;
DBAGDM47.DE;DBAG Demo 47 ETF;Germany;;;;;;;;;;
DBAGDM48.DE;DBAG Demo 48 ETF;Germany;;;;;;;;;;
DBAGDM34.DE;DBAG Demo 34 ETF;Germany;;;;;;;;;;
DBAGDM41.DE;DBAG Demo 41 ETF;Germany;;;;;;;;;;
DBAGDM13.DE;DBAG Demo 13 ETF;Germany;;;;;;;;;;
