Company Name;Country of Headquarters;ESG Score;;;;;;;;;
;;46,54;37,86;35,58;27,42;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;38,27;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;48,2;49,54;46,65;;;;;;;
;;;;;;;;;;;
;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Datacolor AG;Switzerland;45,61;12,7;;;;;;;;
Ems Chemie Holding AG;Switzerland;42,7;35,52;35,47;33,41;22,2;21,85;22,48;21,2;22,8;24,08
Compagnie Financiere Richemont SA;Switzerland;78,34;67,47;66,66;64,85;65,29;56,83;61,04;60,99;68,38;61,56
Compagnie Financiere Tradition SA;Switzerland;35,02;36,14;36,51;33,44;;;;;;
Georg Fischer AG;Switzerland;83;83,23;74,88;76,52;74,85;73,54;76,6;74,69;78,15;72,86
Flughafen Zuerich AG;Switzerland;46,23;31,48;33,33;30,8;27,25;29,25;30,4;30,98;28,38;28,82
Forbo Holding AG;Switzerland;60,71;64,91;63,38;61,07;57,78;;;;;
APG SGA SA;Switzerland;36,9;38,02;42,26;36,35;20,17;;;;;
Graubuendner Kantonalbank;Switzerland;;;;;;;;;;
Gurit Holding AG;Switzerland;78,26;71,19;54,92;41,7;22,46;;;;;
Holcim AG;Switzerland;77,51;74,72;74,97;74,69;78,53;77,1;72,04;68,9;70,59;67,39
Immofonds Immobilien AG;Switzerland;;;;;;;;;;
Intershop Holding AG;Switzerland;29,09;25,61;22,67;23,56;15,88;;;;;
Credit Suisse Real Estate Fund Interswiss A;Switzerland;;;;;;;;;;
Jungfraubahn Holding AG;Switzerland;29,55;27,33;27,37;14,53;13,33;;;;;
Berner Kantonalbank AG;Switzerland;;;;;;;;;;
Kardex Holding AG;Switzerland;46,99;43,1;42,03;24,79;21,21;;;;;
Energiedienst Holding AG;Switzerland;;;;;;;;;;
Valiant Holding AG;Switzerland;52,73;49,29;45,68;41,98;45,3;47,38;42,45;45,04;50,47;44,2
Lem Holding SA;Switzerland;51,88;49,46;51,19;41,96;32,53;;;;;
Chocoladefabriken Lindt & Spruengli AG;Switzerland;73,56;73,17;69,22;64,2;61,34;56,23;52;45,73;45,55;41,34
Meier Tobler Group AG;Switzerland;;;;;;;;;;
Metall Zug AG;Switzerland;34,14;32,26;28,55;46,45;45,12;;;;;
Mikron Holding AG;Switzerland;24,24;18,94;;;;;;;;
Groupe Minoteries SA;Switzerland;;;;;;;;;;
Nestle SA;Switzerland;85,42;91,39;89,3;90,6;82,53;85,32;86,49;88,55;92,58;92,47
Orell Fuessli AG;Switzerland;36,47;27,74;17,91;13,79;;;;;;
Perrot Duval Holding SA;Switzerland;;;;;;;;;;
Phoenix Mecano AG;Switzerland;24,73;19,23;15,82;;;;;;;
Rieter Holding AG;Switzerland;55,18;65,72;59,18;57,51;50,64;36,47;36,54;29,56;29,26;34,23
Arundel AG;Switzerland;4,96;5,79;4,72;;;;;;;
Schindler Holding AG;Switzerland;51,23;59,45;52,78;50,24;46,08;43,58;46,8;42,38;38,7;39,76
Schweiter Technologies AG;Switzerland;44,74;43,43;41,38;34,7;23;;;;;
Siegfried Holding AG;Switzerland;68,95;69,41;66,87;64,72;69,1;;;;;
Sika AG;Switzerland;80,65;81,15;77,15;65,32;64,36;60,3;59,84;51,5;44,59;43,49
UBS (CH) Property Fund - Swiss Mixed 'Sima' CHF;Switzerland;;;;;;;;;;
Sulzer AG;Switzerland;72,14;75,22;61,82;64,88;52,57;56,07;61,06;73,14;80,54;85,49
UBS SW Swissreal;Switzerland;;;;;;;;;;
Tecan Group AG;Switzerland;63,8;56,68;57,76;50,96;40,18;30,55;;;;
Romande Energie Holding SA;Switzerland;42;38,06;11,74;;;;;;;
IVF Hartmann Holding AG;Switzerland;;;;;;;;;;
Vetropack Holding SA;Switzerland;47,53;49,29;44,38;37,43;31,39;;;;;
Villars Holding SA;Switzerland;;;;;;;;;;
Von Roll Holding AG;Switzerland;41,68;42,57;43,74;40,01;;;;;;
Vontobel Holding AG;Switzerland;69,33;65,02;63,78;67,61;60,48;;;;;
Zehnder Group AG;Switzerland;34,62;30,93;31,31;;;;;;;
Bystronic AG;Switzerland;54,21;32,27;32,62;27,81;;;;;;
Zuger Kantonalbank;Switzerland;;;;;;;;;;
Fresenius SE & Co KGaA;Germany;82,79;82,98;75,4;73,35;63,48;43,91;46,48;51,87;44,58;47,76
SGS SA;Switzerland;86,29;87,05;85,68;81,82;84,07;81,55;79,04;80,38;78,6;72,86
Bayerische Motoren Werke AG;Germany;89,82;83,68;86,83;83,88;84,14;87,1;85,84;86,28;88,37;85,81
Ceconomy AG;Germany;80,56;75,29;72,26;61,52;61,82;75,52;74,82;73,28;78,25;72,84
Baloise Holding AG;Switzerland;42,39;41,57;44,53;44,79;42,69;45,33;50,7;51,07;50,62;46,26
RWE AG;Germany;72,65;66,09;67,45;70,95;70,56;72,22;70,92;72,82;74,29;74,48
Siemens AG;Germany;87,32;89,44;90,38;87,92;85,5;83,84;82,46;83,52;84,5;82,86
Schweizerische Nationalbank;Switzerland;27,72;28,29;26,27;25,45;22,36;18,08;;;;
Interroll Holding AG;Switzerland;51,84;37,02;35,07;28,52;26,77;;;;;
Komax Holding AG;Switzerland;39,3;37,98;38,03;35,23;32,38;;;;;
thyssenkrupp AG;Germany;74,37;76,45;76,52;67,76;70,42;71,43;73,3;66,8;61,12;62,56
Ls Invest AG;Germany;;;;;;;;;;
7C Solarparken AG;Germany;;;;;;;;;;
Sporttotal AG;Germany;;;;;;;;;;
LPKF Laser & Electronics SE;Germany;49,81;45,28;38,06;;;;;;;
Deutsche Telekom AG;Germany;87,08;87,6;82,4;77,76;77,06;79,4;78,63;70,23;73,62;75,79
Value-Holdings AG;Germany;;;;;;;;;;
Indus Holding AG;Germany;43,82;39,52;32,11;25,08;;;;;;
Aryzta AG;Switzerland;58,33;56,88;57,05;53,77;48,38;45,81;47,01;25,9;24,04;16,62
Adecco Group AG;Switzerland;73,56;73,41;69,96;64,65;67,68;70,07;72,9;65,1;68,69;71,48
Allianz SE;Germany;91,98;92,81;94,32;94,11;94,97;86,09;86,65;88,46;86,12;88,67
BASF SE;Germany;92,32;93,12;92,6;90,71;89,9;83,78;83,78;87,9;88,61;86,79
Banque Cantonale Du Jura SA;Switzerland;;;;;;;;;;
Effecten-Spiegel AG;Germany;;;;;;;;;;
Airesis SA;Switzerland;6,63;7,01;3,85;;;;;;;
Mymetics Corp;Switzerland;;;;;;;;;;
Zueblin Immobilien Holding AG;Switzerland;14,35;14,14;36,88;;;;;;;
Pfeiffer Vacuum Technology AG;Germany;56,4;46,39;36,05;17,31;;;;;;
Krones AG;Germany;54,15;54,09;47,04;45,52;46,52;;;;;
GEA Group AG;Germany;83,13;70,31;68,67;68,4;68,8;63,76;49,21;39;33,86;33,15
Hornbach Baumarkt AG;Germany;55,19;58,11;54,47;49,71;;;;;;
Chubb Ltd;Switzerland;52,07;50,56;50,5;51,59;49,31;49,14;37,59;38,09;39,56;42,52
KHD Humboldt Wedag Vermoegensverwaltungs-AG;Germany;;;;;;;;;;
Sartorius AG;Germany;83,21;80,2;74,41;73,22;69,76;66,7;58,02;;;
Simona AG;Germany;51,08;24,66;25,03;;;;;;;
Warteck Invest AG;Switzerland;;;;;;;;;;
InnoTec TSS AG;Germany;;;;;;;;;;
Jungheinrich AG;Germany;59,79;52,85;53,37;48,04;41,13;;;;;
Fleischerei Bedarf AG von 1923;Germany;;;;;;;;;;
GFT Technologies SE;Germany;65,74;58,82;44,75;45,57;;;;;;
Lewag Holding AG;Germany;;;;;;;;;;
Gerry Weber International AG;Germany;66,01;51,27;48,01;45,07;51,72;41,85;52,33;26,18;32,06;
Oberstdorfer Bergbahn AG;Germany;;;;;;;;;;
Rhoen Klinikum AG;Germany;47,07;47,8;38,52;33,86;35,45;32,08;26,73;32,81;31,59;37,13
Muenchener Tierpark Hellabrunn AG;Germany;;;;;;;;;;
Vossloh AG;Germany;48,87;48,02;40,14;42,84;38,57;;;;;
Neuhof Textil-Holding AG;Germany;;;;;;;;;;
Gold Zack AG;Germany;;;;;;;;;;
Eyemaxx Real Estate AG;Germany;;;;;;;;;;
