Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
Company Name;Country of Headquarters;ESG score;ESG score2;ESG score3;ESG score4;ESG score5;ESG score6;ESG score7;ESG score8;ESG score9;ESG score10
FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
Deutsche EuroShop AG;Germany;24.86;28.46;24.34;21.84;15.95;17.93;16.82;13.2;12.41;18.51
Abb Ltd;Switzerland;91.98;94.45;94.03;93.72;92.72;89.72;87.22;88.9;92.89;89.72
Swisscom AG;Switzerland;72.68;68.28;75.85;72.61;70.8;64.95;60.99;74.61;69.32;75.46
Geberit AG;Switzerland;86.2;87.76;90.58;88.65;89.07;83.41;80.73;82.68;77.57;79.65
Transocean Ltd;Switzerland;55.57;55.78;57.66;61.71;55.55;65.51;44.11;43.68;53.58;56.79
Roche Holding AG;Switzerland;94.42;94.41;95.06;92.81;88.97;89.23;87.48;89.34;89.7;81.09
Infineon Technologies AG;Germany;83.05;83.06;82.17;76.73;76.99;78.96;82.99;80.02;74.31;73.17
Deutsche Post AG;Germany;79.54;83.55;85.55;87.09;80.12;80.3;82.87;80.36;78.1;79.5
Allreal Holding AG;Switzerland;44.69;50.3;45.95;42.4;27.96;24.3;28.83;26.46;27.14;26.15
PSP Swiss Property AG;Switzerland;58.1;60.64;45.38;40.3;39.66;30.54;34.99;33.56;31.19;26.42
Swiss Prime Site AG;Switzerland;61.37;62.89;64.05;56.61;51.45;47.33;46.19;48.09;35.82;23.17
Givaudan SA;Switzerland;77.54;75.87;75.58;73.41;74.73;70.58;67.33;73.94;71.34;70.71
Deutsche Boerse AG;Germany;75.27;77.15;73.32;73.18;73.17;72.19;69.32;66.31;64.53;64.86
Garmin Ltd;Switzerland;60.9;64.24;61.12;56.94;56.88;59.97;54.84;59.1;49.08;63.02
Fraport Frankfurt Airport Services Worldwide AG;Germany;79.64;84.68;82.36;83.82;82.2;85.82;86.24;83.5;80.86;75.46
Aareal Bank AG;Germany;72.88;73.59;73.43;69.7;71.9;67.48;60.64;60.96;54.62;55.14
Swiss Life Holding AG;Switzerland;74.6;74.47;68.71;65.29;66.38;60.04;54.89;57.08;53.58;55.54
Banque Cantonale Vaudoise;Switzerland;63.07;51.05;31.91;34;28.24;25.74;23.63;26.25;25.34;31.08
Basilea Pharmaceutica AG Allschwil;Switzerland;43.16;40.21;39.37;38.88;41.51;40.47;36.56;43.85;38.94;37.85
Emmi AG;Switzerland;56.66;55.47;48.05;47.25;45.87;34.38;35.09;46.69;46.78;41.47
Lanxess AG;Germany;82.55;80.88;77.88;75.29;64.57;63.48;69.08;67.24;69.06;66.69
MTU Aero Engines AG;Germany;83.18;85.39;80.21;82.23;76.58;78.11;73.87;53.05;52.28;50.22
Mobimo Holding AG;Switzerland;68.06;67.82;65.77;60.26;59.88;53.74;55.78;55.66;48.27;46.83
EFG International AG;Switzerland;50.05;43.98;30.27;32.32;20.91;17.52;17.17;19.74;19.43;18.43
Dufry AG;Switzerland;56.37;53.47;53.16;53;36.04;36.58;31.31;30.27;29.24;23.03
Partners Group Holding AG;Switzerland;61.49;54.41;47.95;47.08;39.51;39.7;24.04;21.56;18.75;15.16
Wacker Chemie AG;Germany;75.64;67.76;67.8;65.28;53.19;55.17;53.13;51.39;56.33;53.54
Deutsche Wohnen SE;Germany;83.17;76.96;67.76;71.18;71.61;53.46;47.81;48.71;38.86;39
Kloeckner & Co SE;Germany;66.17;56.46;51.15;48.95;50.11;51.48;47.05;46.79;47.67;46.58
Meyer Burger Technology AG;Switzerland;56.5;60.37;65.83;64.72;69.43;69.02;57.37;49.72;42.73;39.24
Symrise AG;Germany;77.8;77.28;73.85;69.02;71.49;68.6;62.97;66.62;63.46;70.76
Evonik Industries AG;Germany;88.84;89.12;89.04;85.88;86.95;88.23;88.08;87.31;84.01;75.86
freenet AG;Germany;39.89;39.32;34.47;35.33;33.89;16.95;16.72;10.19;7.52;14.94
TE Connectivity Ltd;Switzerland;72.33;70.46;69.29;64.31;62.77;64.17;64.54;54.35;51.31;57.78
Gerresheimer AG;Germany;71.41;78.84;75.02;73.7;70.75;57.27;52.91;43.39;45.67;36.74
Addex Therapeutics Ltd;Switzerland;17.72;22.05;22.84;19.16;16.97;11.23;6.78;11.85;16.48;9.12
Ferrexpo PLC;Switzerland;79.02;68.33;70.66;67.34;63.19;58.48;57.73;57.98;54.7;55.08
Hamburger Hafen und Logistik AG;Germany;69.56;72.29;68.37;55.84;51.64;47.57;45.81;46.05;46.96;47.52
Centrotherm International AG;Germany;23.2;19.65;19.38;22.78;16.31;14.24;15.19;19.58;20.6;38.03
Julius Baer Gruppe AG;Switzerland;72.06;73.91;72.7;63.05;62.79;63.5;54.84;45.15;40.87;41.51
Kabel Deutschland Holding AG;Germany;19.88;14.04;8.86;19.24;18.37;21.1;20.76;23.3;33.66;23.58
Brenntag SE;Germany;64.42;61.8;63.44;59.83;62.49;56.53;57.04;42.06;37.6;29.1
Glencore PLC;Switzerland;89.53;88.93;91.67;90.5;90.11;91.78;89.19;88.74;84.7;82.1
Swiss Re AG;Switzerland;82.69;84.56;74;72.89;68.01;65.71;76.95;75.99;79.31;74.98
Telefonica Deutschland Holding AG;Germany;74.35;69.32;66.76;58.25;54.95;43.89;40.99;35.96;32.2;42.6
UBS Group AG;Switzerland;88.8;90.52;90.18;90.83;90.92;91.38;82.62;79.85;88.44;86.15
